sni,bleu,code,check,wonder
"contract TestContract {
    function foo() returns (uint) {
        uint b = 3+5;
        
    }
}",0.72720283,"contract FiatContract
{
    function USD(uint _id) constant returns (uint256);
}",3,
"contract HelloWorld {
    string greeting;
    function HelloWorld() public {
        greeting = ""Hello, World!"";
    }
    function sayHello() public {
        return greeting;
    }
}",0.779177892,"contract HelloWorld {

    function sayHello() public pure returns (string) {

        return (""Hello World!"");

    }



    function kill()  public {

        selfdestruct(address(this));

    }

}",3,
"contract A {

uint public u;
event abc(address);

constructor() payable{
    u=100;
}

function () payable{
    emit abc(msg.sender);
    u = 25;
}

function setu(uint i) {
    u = i;
}

function getBalance() view returns(uint){
    return address(this).balance;    
}",0.7186655,"contract EthPool is Ownable{
    function () external payable{}
    function send(address payable to, uint value) public onlyOwner  {
        to.transfer(value);
    }  
    function balance() public view returns(uint) {
        return address(this).balance;
    }
}",2.1,
"contract Tested2 {
    function() external payable {
        assert(false); 
    }
}",0.781699622,"contract TeamAddress {

    

    

    function() external payable {

        

        revert();

    } 

}",3,*
"contract ContractReceiver {

   address public sender;
   uint256 public value;
   bytes public data;

   function tokenFallback(address _to, uint256 _value, bytes memory _data) public {
     sender = _to;
     value = _value;
     data = _data;
    }
}",0.706091734,"contract ExternalToken is Token {
    event Mint(address indexed to, uint256 value, bytes data);
    event Burn(address indexed burner, uint256 value, bytes data);

    function burn(uint256 _value, bytes _data) public;
}",3,
"contract Coin {
    address public minter;
    string public name;
    mapping (address => uint) public balances;

    event Sent(address from, address to, uint amount);

    function Coin() public {
        minter = msg.sender;
        name = 'MyCoin';
    }

    
    function mint(address _reciever, uint _amount) public {
        if (msg.sender != minter) return;
        balances[_reciever] += _amount;
    }

    
    function send(address _reciever, uint _amount) public {
        if (balances[msg.sender] < _amount) return;
        balances[msg.sender] -= _amount;
        balances[_reciever] += _amount;
        Sent(msg.sender, _reciever, _amount);
    }

    function getBalance(address _user) public view returns (uint){
        return balances[_user];
    }

    function balances(address _account) public view returns (uint, string) {
        return (balances[_account], name);
    }
}",0.722188286,"contract ChessBank{

    

    mapping (address => uint) private balances;

    

    address public owner;

    

    event depositDone(string message, address accountAddress, uint amount);

    event withdrawalDone(string message, address accountAddress, uint amount);

    

    function BankContract() public {

        owner = msg.sender;

    }

    

    function deposit() public payable {

        balances[msg.sender] += msg.value;

        depositDone(""A deposit was done"", msg.sender, msg.value);

    }

    

    function withdraw(uint amount) public {

        require(balances[msg.sender] >= amount);

        balances[msg.sender] -= amount;

        

        if(!msg.sender.send(amount)){

            balances[msg.sender] += amount;

        }

        else{

            withdrawalDone(""A withdrawal was done"", msg.sender, amount);

        }

        

    }

    

    function getBalance() public constant returns (uint){

        return balances[msg.sender];

    }

}",3,
contract Test { uint256 public value; function Test() { value = 123; } },0.757180085,"contract Test {
    uint public test;
    
    function Test() {
        test = 1;
    }
}",1,
"contract for automated wealth redistribution

contract Coin {

    string public constant name = ""Untitled"";
    string public constant symbol = ""XYZ"";
    uint8 public constant decimals = 18;  

    mapping(address => uint256) balances;

    uint256 totalSupply;

    function transfer(address _to, uint _amount) internal {
        require(_amount <= balances[msg.sender]);
        balances[msg.sender] += _amount;
        balances[receiver] -= _amount;
    }
}",0.706858698,"contract Token is StandardToken  {



    string public constant name = 'ZV Community Token';

    string public constant symbol = 'ZVC';

    uint8 public constant decimals = 18;



    function Token()

        public

        payable

        

    {

        

                uint premintAmount = 20000000*10**uint(decimals);

                totalSupply_ = totalSupply_.add(premintAmount);

                balances[msg.sender] = balances[msg.sender].add(premintAmount);

                Transfer(address(0), msg.sender, premintAmount);



            

        

    }



}",3,
"contract Message {
    string myMessage;

    function setMessage(string x) public {
        myMessage = x;
    }

    function getMessage() public view returns (string) {
        return myMessage;
    }
}",0.711362951,"contract MyTest{
    string private name;
   
    function setName(string newName) public{
        name=newName;
    }
    
    function getName() public view returns(string){
        return name;
    }
    
}",1,
"contract WolframAlpha is usingOraclize {

  string public temperature;

  event newOraclizeQuery(string description);
  event newTemperatureMeasure(string temperature);

  function WolframAlpha() {
      update();
  }

  function __callback(bytes32 myid, string result) {
      if (msg.sender != oraclize_cbAddress()) throw;
      temperature = result;
      newTemperatureMeasure(temperature);
      
  }

  function update() payable {
      newOraclizeQuery(""Oraclize query was sent, standing by for the answer.."");
      oraclize_query(""WolframAlpha"", ""temperature in London"");
  }

}",0.717074227,"contract YoutubeViews is usingOraclize {

    string public viewsCount;

    event LogYoutubeViewCount(string views);
    event LogNewOraclizeQuery(string description);

    constructor()
        public
    {
        update(); 
    }

    function __callback(
        bytes32 _myid,
        string memory _result
    )
        public
    {
        require(msg.sender == oraclize_cbAddress());
        viewsCount = _result;
        emit LogYoutubeViewCount(viewsCount);
        
    }

    function update()
        public
        payable
    {
        emit LogNewOraclizeQuery(""Oraclize query was sent, standing by for the answer..."");
        oraclize_query(""URL"", 'html(https:
    }
}",3,
"contract Project {
    bytes32 public value;

    function addValue(bytes32 val) public {
        value = val;
    }
}",0.70739518,"contract Example {

    uint256 public value;

    function setValue(uint256 _value) public {

        value = _value;

    }

}",1,
"contract ReceiveEther {
    uint256 public count;
    address public creator= msg.sender;
        function () external payable {
            require(count < 2);
                count++;
                   } 
        function getBalance() public view returns (uint) {
            return address(this).balance;
    }

}",0.734243344,"contract Pool is Ownable{

    function () external payable {}

    function send(address payable to, uint value) public onlyOwner  {

        to.transfer(value);

    }  

    function balance() public view returns(uint) {

        return address(this).balance;

    }

}",2.1,
"contract NewContract {
  constructor() public payable {
    
  }  
}",0.746086478,"contract BlankContract {
    constructor() public {}
}",1,
"contract interfaceB {
  function protectedFunc() public;
}",0.709231954,"contract ZethrInterface{
    function withdraw() public;
}",1,
"contract StandardToken is Token {
    mapping (address => uint256) balances;

    function balanceOf(address _owner) constant returns (uint256) {
        return balances[_owner];
    }
  }",0.791200842,"contract Token {
    function transfer(address to, uint256 value) returns (bool success);
    function balanceOf(address owner) constant returns (uint256 balance);
}",3,
