sni_index,code_index,sni,bleu,code
0.0,44551.0,"function Election () public {
^ (Relevant source part starts here and spans across multiple lines).

/C/Users/asus/election/contracts/Election.sol:3:1: The shadowed declaration is here:
",0.5207318580133308,"function schedule() public {
        require(now <= expiration, ""This contract has expired"");
        require(eta == 0, ""This spell has already been scheduled"");
        eta = now + DSPauseAbstract(pause).delay();
        pause.plot(action, tag, sig, eta);
    }"
3.0,119647.0,"function AddPerson(PersonsData storage self)  public {
        Person  memory p ;

        p.balance = 0 ; 
        self.person[msg.sender]  =  p; 
        self.numpersons++ ; 

    }",0.5368139948586286,"function remitFor(address person) public onlyOwner {
        require(vault[person] > 0 && now >= sealdate);
        balances[person] = balances[person].add(vault[person]);
        vault[person] = 0;
    }"
6.0,49940.0,"function setWeb3Provider(keystore) {

    var web3Provider = new HookedWeb3Provider({
        host: ethClient,
        transaction_signer: keystore
    });

    web3.setProvider(web3Provider);

}",0.5234320277196924,"function setEthPriceProvider(address provider) external onlyOwner {

        require(provider != address(0), ""Provider is the zero address"");



        ethPriceProvider = provider;

    }"
10.0,16404.0,"function () {
     contract  = await ContractBalance.new({from: accounts[0]});
     balance   = await contract.getBalance();
     console.log('ContractBalanceTest ', contract.address, balance.toString());
     console.log('');
   }",0.5269129801836874,"function subtractBalance(
        address user,
        address token,
        uint256 amount
    ) internal {
        require(amount <= getBalance(user, token), ""Amount exceeds user's balance."");
        subtractBalanceUnchecked(user, token, amount);
    }"
11.0,55093.0,"function collectPayment() {
    uint256 blockDepth = block.number - wagers[wager_owner].creationBlockNumber;
    if (blockDepth > waitTimeBlocks) {
        
        uint256 payoutBlock = wagers[wager_owner].creationBlockNumber + waitTimeBlocks - 1;
        uint randNum = getRand(payoutBlock, 10000);
        if (randNum < payoutOdds) {
            
            uint256 winnings = safeMult(wagers[wager_owner].wagerWei, 2);
            wagers[wager_owner].active = false;
            wagers[wager_owner].sender.send(winnings))
        } else {
            
            wagers[wager_owner].active = false;
        }
    }
",0.507364057806977,"function finishRitual(address _owner) whenNotPaused external {
        
        uint256 timeBlock = ritualTimeBlock[_owner];
        require(timeBlock > 0 && timeBlock <= block.number);
        
        uint256 souls = soulCounter[_owner];
        
        require(souls >= 10);
        
        uint256 identity = _generateIdentity(uint256(_owner), souls, timeBlock - 1, 0);
        
        uint256 warriorId = coreContract.ariseWarrior(identity, _owner, block.number + (SUMMONING_SICKENESS / coreContract.secondsPerBlock()));
    
        soulCounter[_owner] = 0;
        ritualTimeBlock[_owner] = 0;
        
        msg.sender.transfer(RITUAL_COMPENSATION);
        
        RitualFinished(_owner, 10, warriorId);
    }"
12.0,26312.0,"function getParameterByName(name, url) {
    
}",0.5730411650461267,"function Charity(string _name) {
        name = _name;
    }"
15.0,47324.0,"function (err, hash) {
      console.log(err);
      console.log(hash);
      while (receipt == null) {

        receipt = web3.eth.getTransactionReceipt(hash);

      }

      console.log('Contract address: ' + receipt.contractAddress);





  }",0.5006079373087092,"function WithdrawTokensFlixxo(
    address _tokenContract,
    uint _vesting,
    address _receiver,
    uint _amount
  ) {
    tokenContract = _tokenContract;
    vesting = now + _vesting * 1 days;
    receiver = _receiver;
    amount = _amount;
  }"
17.0,55638.0,"function append(data storage self, bytes32 _data, bytes32 _data2) {
    var index = uint80(self.items.push(Item({prev: self.last, next: None, data: _data, data2: _data2})));
    if (self.last == None)
      {
    if (self.head != None || self.count != 0) throw;
    self.head = self.last = index;
    self.count = 1;
      }
    else
      {
    self.items[self.last - 1].next = index;
    self.last = index;
    self.count++;
      }
  }",0.538198216300949,"function insertAfter(Data storage self, uint afterId, uint id, uint data) internal {

        if (self.list[id].initialized) {

            self.list[id].data = data;

            return;

        }

        self.list[id].prev = afterId;

        if (self.list[afterId].next == NULL) {

            self.list[id].next =  NULL;

            self.lastNodeId = id;

        } else {

            self.list[id].next = self.list[afterId].next;

            self.list[self.list[afterId].next].prev = id;

        }

        self.list[id].data = data;

        self.list[id].initialized = true;

        self.list[afterId].next = id;

        self.len++;

    }"
18.0,44551.0,"function Ballot() public {
    ^ (Relevant source part starts here and spans across multiple lines).
/home/bc/bheem/Ballot2/contracts/Ballot.sol:3:1: The shadowed declaration is here:
",0.5006369812879461,"function schedule() public {
        require(now <= expiration, ""This contract has expired"");
        require(eta == 0, ""This spell has already been scheduled"");
        eta = now + DSPauseAbstract(pause).delay();
        pause.plot(action, tag, sig, eta);
    }"
22.0,14924.0,"function showPinata() internal {
        emit Birthday.Pinata(222);
    }",0.5976233268187942,"function _start() internal

    {

        emit Started();

        stopped = false;

    }"
29.0,62981.0,"function (transId) {
        console.log('My job here is done. ' + transId.transactionHash);
    }",0.5104251549862746,"function ()public payable {
        revert(""Sending ether to the contract is not allowed"");
    }"
33.0,75815.0,"function(error, tx) {
        if (error) callback(error, null);
        else callback(null, tx);
      }",0.5300344068565724,"function callback() public isOwner{ 
        
        if (endBlock <= block.number && endBlock != 0) {
            endLottery();
        }
    }"
35.0,31957.0,"function (error, result) {
    if (error) callback(error, null);
    else {
      let resultObj = {
        mineTime:  new Date(result[0] * 1000),
        blockNumber: result[1],
        instituteName: result[2],
        recipientName: result[3],
        courseName: result[4],
        marks: result[5],
        dateOfCompletion: result[6]
      }
      callback(null, resultObj);
    }
  }",0.5054662817060019,"function __callback(bytes32, string _result, bytes) public {
        require(msg.sender == oraclize_cbAddress());
        uint256 result = parseInt(_result, 5);
        uint256 newPrice = uint256(10 ** 23).div(result);
        require(newPrice > 0);

        if (result.div(3) < etherPriceInUSD || result.mul(3) > etherPriceInUSD) {
            etherPriceInUSD = result;

            NewDevelopeoPriceTicker(_result);
        }

    }"
50.0,52162.0,"function nonce_addr(address) {
    return web3.eth.getTransactionCount(address)
}",0.5897932526053519,"function setWethContract(
        address _addr)
        public
        onlyAdmin
    {
        wethContract = _addr;
    }"
62.0,45027.0,"function (err, result) {
            console.log(result);
            if(result){
                $('input[contract_hash]').val(result.result);
                
            }
        }",0.5508783543477342,"function __callback(bytes32 myid, string result, bytes proof) {
        myid = myid; result = result; proof = proof;
    }"
64.0,5943.0,"function Inbox(string initialMessage) public {\n    ^ 
    (Relevant source part starts here and spans across multiple lines).\n' ],",0.5056763252431903,"function init(

                uint hid, 

                uint side, 

                uint odds, 

                bytes32 offchain

        ) 

                public 

                payable 

        {

                _init(hid, side, odds, msg.sender, offchain);

        }"
65.0,6540.0,"function (accounts) {
it('should have emitted event with contract address', async function () {
    changemanager = await  ChangeManager.deployed();
    var event = changemanager.allEvents();

    event.watch(function (error, result) {
        if (!error)
            console.log(""Result: "", result.event);
    });
});
",0.5034597688617383,"function unfreezeAccount(address _address) public {
        require(
            isSubAdmin[msg.sender] || isOwner(),
            ""You don't have rights to call this function !!""
        );

        if (!isOwner()) {
            require(
                addedBy[_address] == msg.sender,
                ""You didn't added this user so, you can't remove !!""
            );
        }

        isFreezed[_address] = false;
    }"
67.0,21966.0,"function (error, result) {
        if (!error)
            console.log(""Result: "", result.event);
    }",0.5305638033161505,"function enable() public {
        if (msg.sender != creator) { revert(); } 
        Enabled = true;
    }"
68.0,18500.0,function insert(bytes _hash) {},0.5915548181784948,"function TypesToBytes() internal {

        

    }"
78.0,94478.0,"function CappedCrowdsale(uint256 _cap) public {
  ^ (Relevant source part starts here and spans across multiple lines).
 not valid for functions.oc tag @dev
Compilation failed. See above.
",0.5373453685973261,"function startCrowdsale(
        uint256 _tokens,
        uint    _startDate,
        uint    _endDate,
        uint8   _bonus
    )
        public
        onlyOwner
    {
        Crowd = Crowdsale (
            _tokens * DEC,
            _startDate,
            _startDate + _endDate * 1 days ,
            _bonus
            );
        saleStat = true;
    }"
80.0,103160.0,"function (err, contract) {
        if (err) {
            console.error(err);
            return;

        } else if(contract.address) {
            var bAddress = contract.address
            console.log('bAddress: ' + bAddress);
            var res = bContract.at(bAddress).b.call();
            console.log(res.toString());
        } else {
            console.log(""B transmitted, waiting for mining..."");
        }
    }",0.5066051847029062,"function RubleCoinCrowdsale(uint256 _rate, address _fundAddress, address _fundAddress2) public {
    require(_rate > 0);
	require (_rate < 1000);

    token = createTokenContract();
    startTime = now;
	
    rate = _rate;
	fundAddress = _fundAddress;
	fundAddress2 = _fundAddress2;
	
	contractStatus = ""Sale with discount"";
	isDiscount = true;
	isRunning = true;
  }"
81.0,60258.0,"function (accounts) {
    describe(""#turnOn()"", function () {
        it(""should turn on a loan record instance"", async function () {
            loanrecord = await LoanRecord.new(
                1,
                18,
                0x0000000000000000000000000000000000000002,
                0x0000000000000000000000000000000000000001, 
                ""LOAN""
                );
            await assert.equal(loanrecord.on, false)
            await loanrecord.turnOn()
            await assert.equal(loanrecord.on, true)
        });
    });",0.5136625001707922,"function init() {
		if(msg.sender != owner) throw;
		costs = [10000000000000000, 20000000000000000, 50000000000000000, 100000000000000000, 500000000000000000];
		fee = 5;
		for (uint8 i = 0; i < costs.length; i++) {
			values.push(costs[i] - costs[i] / 100 * fee);
		}
		maxAnimals = 300;
		randomQuery = ""10 random numbers between 1 and 1000"";
		queryType = ""WolframAlpha"";
		oraclizeGas = 300000;
		nextId = 1;
		oldest = 1;
	}"
82.0,38239.0,"function () {
        it(""should turn on a loan record instance"", async function () {
            loanrecord = await LoanRecord.new(
                1,
                18,
                0x0000000000000000000000000000000000000002,
                0x0000000000000000000000000000000000000001, 
                ""LOAN""
                );
            await assert.equal(loanrecord.on, false)
            await loanrecord.turnOn()
            await assert.equal(loanrecord.on, true)
        });
    }",0.5068739540451063,"function reffUp(address _reff) internal{
		address sender = msg.sender;
		if (_reff == 0x0000000000000000000000000000000000000000 || _reff == msg.sender)
			_reff = lastGateway;
			
		if(  holdings[_reff] >= stakingRequirement ) {
			
		}else{
			if(lastGateway == 0x0000000000000000000000000000000000000000){
				lastGateway = sender;
				_reff = sender;
			}
			else
				_reff = lastGateway;
		}
		reff[sender] = _reff;
	}"
