sni,bleu,code
"contract TestContract {
    function foo() returns (uint) {
        uint b = 3+5;
        
    }
}",0.7272028296309833,"contract FiatContract
{
    function USD(uint _id) constant returns (uint256);
}"
"contract HelloWorld {
    string greeting;
    function HelloWorld() public {
        greeting = ""Hello, World!"";
    }
    function sayHello() public {
        return greeting;
    }
}",0.7791778924996446,"contract HelloWorld {

    function sayHello() public pure returns (string) {

        return (""Hello World!"");

    }



    function kill()  public {

        selfdestruct(address(this));

    }

}"
"contract A {

uint public u;
event abc(address);

constructor() payable{
    u=100;
}

function () payable{
    emit abc(msg.sender);
    u = 25;
}

function setu(uint i) {
    u = i;
}

function getBalance() view returns(uint){
    return address(this).balance;    
}",0.7186654995792093,"contract EthPool is Ownable{
    function () external payable{}
    function send(address payable to, uint value) public onlyOwner  {
        to.transfer(value);
    }  
    function balance() public view returns(uint) {
        return address(this).balance;
    }
}"
"contract Tested2 {
    function() external payable {
        assert(false); 
    }
}",0.781699621859202,"contract TeamAddress {

    

    

    function() external payable {

        

        revert();

    } 

}"
"contract ContractReceiver {

   address public sender;
   uint256 public value;
   bytes public data;

   function tokenFallback(address _to, uint256 _value, bytes memory _data) public {
     sender = _to;
     value = _value;
     data = _data;
    }
}",0.7060917344408769,"contract ExternalToken is Token {
    event Mint(address indexed to, uint256 value, bytes data);
    event Burn(address indexed burner, uint256 value, bytes data);

    function burn(uint256 _value, bytes _data) public;
}"
"contract Coin {
    address public minter;
    string public name;
    mapping (address => uint) public balances;

    event Sent(address from, address to, uint amount);

    function Coin() public {
        minter = msg.sender;
        name = 'MyCoin';
    }

    
    function mint(address _reciever, uint _amount) public {
        if (msg.sender != minter) return;
        balances[_reciever] += _amount;
    }

    
    function send(address _reciever, uint _amount) public {
        if (balances[msg.sender] < _amount) return;
        balances[msg.sender] -= _amount;
        balances[_reciever] += _amount;
        Sent(msg.sender, _reciever, _amount);
    }

    function getBalance(address _user) public view returns (uint){
        return balances[_user];
    }

    function balances(address _account) public view returns (uint, string) {
        return (balances[_account], name);
    }
}",0.7221882863126866,"contract ChessBank{

    

    mapping (address => uint) private balances;

    

    address public owner;

    

    event depositDone(string message, address accountAddress, uint amount);

    event withdrawalDone(string message, address accountAddress, uint amount);

    

    function BankContract() public {

        owner = msg.sender;

    }

    

    function deposit() public payable {

        balances[msg.sender] += msg.value;

        depositDone(""A deposit was done"", msg.sender, msg.value);

    }

    

    function withdraw(uint amount) public {

        require(balances[msg.sender] >= amount);

        balances[msg.sender] -= amount;

        

        if(!msg.sender.send(amount)){

            balances[msg.sender] += amount;

        }

        else{

            withdrawalDone(""A withdrawal was done"", msg.sender, amount);

        }

        

    }

    

    function getBalance() public constant returns (uint){

        return balances[msg.sender];

    }

}"
contract Test { uint256 public value; function Test() { value = 123; } },0.7571800848393244,"contract Test {
    uint public test;
    
    function Test() {
        test = 1;
    }
}"
"contract for automated wealth redistribution

contract Coin {

    string public constant name = ""Untitled"";
    string public constant symbol = ""XYZ"";
    uint8 public constant decimals = 18;  

    mapping(address => uint256) balances;

    uint256 totalSupply;

    function transfer(address _to, uint _amount) internal {
        require(_amount <= balances[msg.sender]);
        balances[msg.sender] += _amount;
        balances[receiver] -= _amount;
    }
}",0.7068586980055428,"contract Token is StandardToken  {



    string public constant name = 'ZV Community Token';

    string public constant symbol = 'ZVC';

    uint8 public constant decimals = 18;



    function Token()

        public

        payable

        

    {

        

                uint premintAmount = 20000000*10**uint(decimals);

                totalSupply_ = totalSupply_.add(premintAmount);

                balances[msg.sender] = balances[msg.sender].add(premintAmount);

                Transfer(address(0), msg.sender, premintAmount);



            

        

    }



}"
"contract Message {
    string myMessage;

    function setMessage(string x) public {
        myMessage = x;
    }

    function getMessage() public view returns (string) {
        return myMessage;
    }
}",0.7113629513919151,"contract MyTest{
    string private name;
   
    function setName(string newName) public{
        name=newName;
    }
    
    function getName() public view returns(string){
        return name;
    }
    
}"
"contract WolframAlpha is usingOraclize {

  string public temperature;

  event newOraclizeQuery(string description);
  event newTemperatureMeasure(string temperature);

  function WolframAlpha() {
      update();
  }

  function __callback(bytes32 myid, string result) {
      if (msg.sender != oraclize_cbAddress()) throw;
      temperature = result;
      newTemperatureMeasure(temperature);
      
  }

  function update() payable {
      newOraclizeQuery(""Oraclize query was sent, standing by for the answer.."");
      oraclize_query(""WolframAlpha"", ""temperature in London"");
  }

}",0.7170742273019007,"contract YoutubeViews is usingOraclize {

    string public viewsCount;

    event LogYoutubeViewCount(string views);
    event LogNewOraclizeQuery(string description);

    constructor()
        public
    {
        update(); 
    }

    function __callback(
        bytes32 _myid,
        string memory _result
    )
        public
    {
        require(msg.sender == oraclize_cbAddress());
        viewsCount = _result;
        emit LogYoutubeViewCount(viewsCount);
        
    }

    function update()
        public
        payable
    {
        emit LogNewOraclizeQuery(""Oraclize query was sent, standing by for the answer..."");
        oraclize_query(""URL"", 'html(https:
    }
}"
"contract Project {
    bytes32 public value;

    function addValue(bytes32 val) public {
        value = val;
    }
}",0.7073951804166707,"contract Example {

    uint256 public value;

    function setValue(uint256 _value) public {

        value = _value;

    }

}"
"contract ReceiveEther {
    uint256 public count;
    address public creator= msg.sender;
        function () external payable {
            require(count < 2);
                count++;
                   } 
        function getBalance() public view returns (uint) {
            return address(this).balance;
    }

}",0.7342433436654389,"contract Pool is Ownable{

    function () external payable {}

    function send(address payable to, uint value) public onlyOwner  {

        to.transfer(value);

    }  

    function balance() public view returns(uint) {

        return address(this).balance;

    }

}"
"contract NewContract {
  constructor() public payable {
    
  }  
}",0.746086478332624,"contract BlankContract {
    constructor() public {}
}"
"contract interfaceB {
  function protectedFunc() public;
}",0.7092319536673918,"contract ZethrInterface{
    function withdraw() public;
}"
"contract StandardToken is Token {
    mapping (address => uint256) balances;

    function balanceOf(address _owner) constant returns (uint256) {
        return balances[_owner];
    }
  }",0.7912008418472992,"contract Token {
    function transfer(address to, uint256 value) returns (bool success);
    function balanceOf(address owner) constant returns (uint256 balance);
}"
"contract foreignContract {
    string name;

    function changeName(string Name) returns(bool) {
        name = Name;
        return true;
    }

    function receiveName() returns(string) {
        return name;
    }
}",0.7593813411747692,"contract TestContract {
    string name;
    function getName() public constant returns (string){
        return name;
    }
    function setName(string newName) public {
        name = newName;
    }
}"
"contract Test {

  
  function test() pure public {

  }
}",0.7222959381450805,"contract Secure {

    

    function Secure() public {



    }

}"
"contract SGBFactory {

    event FundsReceived(address indexed sender, uint256 amt);
    mapping (address => uint256) public investmentFrom; 
    address public owner;

    modifier onlyOwner {
        if(msg.sender != owner) throw;
        _;
    }

    function SGBFactory() {
        
        owner = msg.sender;
    }

    function() payable {
        investmentFrom[msg.sender] += msg.value;      
        FundsReceived(msg.sender, msg.value);
    }

}",0.7251139320746647,"contract Destructible {





    address _owner; 



 

    event receipt(address indexed investor, uint value);





    modifier onlyOwner() {

        require(msg.sender == _owner);

        _;

    }



   

    constructor() public {

        _owner = msg.sender;

    }



    

    function() payable public {

        emit receipt(msg.sender, msg.value);

    }

       

    



    function destroyAndSend(address _recipient) onlyOwner() public {

        selfdestruct(_recipient);

    }



}"
"contract A {
    function go() public pure returns (uint out) {
        out = 1;
    }
}",0.7215075635257091,"contract TokenSale {

    function closingTime() public pure returns (uint) {}

}"
"contract B {
    function go() public pure returns (uint out) {
        out = 2;
    }
}",0.7220966592956947,"contract FiatContract {

  function USD(uint _id) public pure returns (uint256);

}"
"contract C {
    function go() public pure returns (uint out) {
        out = 3;
    }
}",0.7220966592956947,"contract FiatContract {

  function USD(uint _id) public pure returns (uint256);

}"
